Calle San Fernando, nº 12, Sevilla
Calle Sierpes, nº 45, Sevilla
Calle Tetuan, nº 8, Sevilla
Avenida de la Constitución, nº 23, Sevilla
Calle Velázquez, nº 3, Sevilla
Calle O'Donnell, nº 17, Sevilla
Calle Zaragoza, nº 29, Sevilla
Calle Amor de Dios, nº 6, Sevilla
Plaza del Duque, nº 11, Sevilla
Calle Chicarreros, nº 4, Sevilla
Calle Sagasta, nº 32, Sevilla
Calle Rioja, nº 15, Sevilla
Calle Francos, nº 21, Sevilla
Calle Imagen, nº 9, Sevilla
Avenida de Menéndez Pelayo, nº 48, Sevilla
Calle Feria, nº 7, Sevilla
Calle Peris Mencheta, nº 13, Sevilla
Calle José Gestoso, nº 2, Sevilla
Calle Conde de Barajas, nº 5, Sevilla
Calle Resolana, nº 38, Sevilla
